stat,scale,bin,snr,frac_diff,band,n_realizations,n_seeds
l1,3,2,-1.25,-0.00017775281770195073,0.0053054883439838385,200,1
l1,3,2,-0.75,0.0003814905370855578,0.0051184046461845295,200,1
l1,3,2,-0.25,0.0008122855170586041,0.005945512634608997,200,1
l1,3,2,0.25,0.0011466981333070772,0.006031471798623192,200,1
l1,3,2,0.75,0.0011454641220436002,0.005780987056624442,200,1
l1,3,2,1.25,0.00100747636041297,0.006195647744924503,200,1
l1,3,2,1.75,0.0005242416382834695,0.007171812080967197,200,1
l1,3,2,2.25,-0.0003251415187514091,0.009778162134819341,200,1
l1,3,2,2.75,-0.0015737141598530242,0.012615697735731743,200,1
l1,3,2,3.25,-0.0032523520305241826,0.019142887341573888,200,1
l1,3,2,3.75,-0.0055963907948628116,0.027208642260342798,200,1
l1,3,2,4.25,-0.008730855758802537,0.036112842363023034,200,1
l1,3,2,4.75,-0.012722615388667532,0.048913794403552424,200,1
l1,3,2,5.25,-0.01688078304731837,0.06435337579530283,200,1
l1,3,2,5.75,-0.022272219245434592,0.08550034815639375,200,1
l1,3,2,6.25,-0.028201467978276648,0.11531294464970397,200,1
l1,3,2,6.75,-0.03424482006831848,0.15483304759510538,200,1
l1,3,2,7.25,-0.03957745923764084,0.19051036552952313,200,1
l1,3,2,7.75,-0.046739701734917045,0.2214934499836329,200,1
l1,3,2,8.25,-0.05081747889043577,0.26546551063127466,200,1
l1,3,2,8.75,-0.06400912868532536,0.3288639991437606,200,1
l1,3,2,9.25,-0.05140955812070687,0.38155070892110865,200,1
l1,3,2,9.75,-0.07395823195632846,0.44929207362987456,200,1
l1,3,3,-9.75,-0.017520611568278027,5.0470064289959415,200,1
l1,3,3,-9.25,-0.017973941597235,2.3197777905416657,200,1
l1,3,3,-8.75,-0.01437968950440517,1.2171372969718395,200,1
l1,3,3,-8.25,-0.01931593575574089,0.656644562600228,200,1
l1,3,3,-7.75,-0.012459015302088625,0.37693969324524834,200,1
l1,3,3,-7.25,-0.009415738871957676,0.20655089818730973,200,1
l1,3,3,-6.75,-0.009542595355135929,0.1220137931000758,200,1
l1,3,3,-6.25,-0.007048732629909064,0.08012952091264157,200,1
l1,3,3,-5.75,-0.006004932982364811,0.056893186515022856,200,1
l1,3,3,-5.25,-0.004937549726217483,0.04175312415149172,200,1
l1,3,3,-4.75,-0.004041382922874018,0.0295220059772614,200,1
l1,3,3,-4.25,-0.0031194051294652306,0.020368920161191524,200,1
l1,3,3,-3.75,-0.0022521120806174594,0.016676504328824514,200,1
l1,3,3,-3.25,-0.0017130283679408851,0.011392574599722954,200,1
l1,3,3,-2.75,-0.001012411682124265,0.008080909160903335,200,1
l1,3,3,-2.25,-0.0005225135214850118,0.007015449054966813,200,1
l1,3,3,-1.75,-4.9040768729628786e-05,0.005985019185126424,200,1
l1,3,3,-1.25,0.00023448716454427926,0.005623306155765932,200,1
l1,3,3,-0.75,0.0005651439680497034,0.0055928357693244635,200,1
l1,3,3,-0.25,0.0007516274930185765,0.005994452170482685,200,1
l1,3,3,0.25,0.0009135901318202175,0.006389048710986374,200,1
l1,3,3,0.75,0.0009294241296849362,0.006149578752274146,200,1
